Order_ID,Region,Salesperson,Product,Units_Sold,Unit_Price,Revenue,Month
1000,North,Alice,Monitor,4,469,1876,May
1001,East,Chris,Phone,18,999,17982,June
1002,West,John,Phone,10,234,2340,March
1003,North,Bob,Laptop,20,760,15200,April
1004,South,John,Monitor,19,912,17328,February
1005,South,Alice,Tablet,11,711,7821,April
1006,West,Olivia,Laptop,6,631,3786,January
1007,West,David,Laptop,12,940,11280,January
1008,South,John,Laptop,9,628,5652,January
1009,North,David,Phone,12,941,11292,April
1010,North,Bob,Monitor,1,298,298,May
1011,West,Chris,Phone,16,265,4240,May
1012,North,Chris,Tablet,7,714,4998,May
1013,West,John,Tablet,20,484,9680,June
1014,North,Chris,Monitor,5,559,2795,June
1015,North,Bob,Monitor,3,352,1056,March
1016,East,Olivia,Monitor,13,957,12441,February
1017,East,John,Monitor,13,772,10036,April
1018,North,David,Phone,1,481,481,February
1019,South,Emma,Tablet,13,721,9373,February
1020,South,Sophia,Monitor,15,850,12750,April
1021,South,John,Tablet,20,461,9220,January
1022,North,Sophia,Tablet,11,622,6842,February
1023,South,Emma,Monitor,7,597,4179,April
1024,South,Bob,Tablet,19,524,9956,March
1025,West,Bob,Tablet,4,755,3020,February
1026,West,Sophia,Phone,4,625,2500,May
1027,South,John,Laptop,3,462,1386,June
1028,West,Emma,Laptop,15,805,12075,January
1029,East,Alice,Tablet,12,961,11532,January
1030,East,David,Monitor,4,916,3664,February
1031,South,David,Phone,15,328,4920,May
1032,South,Bob,Monitor,11,819,9009,May
1033,North,David,Monitor,16,495,7920,February
1034,South,David,Tablet,7,974,6818,June
1035,North,Olivia,Tablet,12,950,11400,June
1036,South,Alice,Phone,10,306,3060,May
1037,North,Sophia,Tablet,8,634,5072,March
1038,North,David,Monitor,20,884,17680,June
1039,West,David,Phone,9,522,4698,May
1040,North,Chris,Monitor,11,218,2398,January
1041,South,Sophia,Phone,7,586,4102,June
1042,West,Alice,Laptop,15,802,12030,March
1043,West,John,Monitor,3,306,918,April
1044,West,David,Laptop,16,217,3472,March
1045,East,John,Phone,9,396,3564,April
1046,North,Alice,Monitor,6,861,5166,June
1047,West,Sophia,Laptop,19,630,11970,June
1048,North,Bob,Tablet,1,405,405,April
1049,West,Olivia,Monitor,13,768,9984,February
1050,West,Olivia,Phone,11,939,10329,June
1051,East,Alice,Laptop,11,739,8129,June
1052,South,David,Monitor,11,349,3839,March
1053,East,Bob,Laptop,2,483,966,May
1054,East,John,Phone,8,891,7128,March
1055,West,Sophia,Monitor,4,681,2724,January
1056,West,Bob,Laptop,2,472,944,May
1057,East,Olivia,Laptop,13,745,9685,April
1058,West,Olivia,Laptop,20,864,17280,April
1059,South,Olivia,Laptop,2,743,1486,February
1060,North,Olivia,Tablet,15,467,7005,January
1061,North,David,Laptop,20,511,10220,March
1062,West,Sophia,Tablet,6,996,5976,June
1063,South,Olivia,Monitor,8,240,1920,April
1064,East,Bob,Phone,12,252,3024,April
1065,South,Alice,Phone,18,541,9738,May
1066,West,John,Tablet,14,252,3528,May
1067,West,Sophia,Monitor,19,832,15808,January
1068,East,Olivia,Phone,5,570,2850,March
1069,North,Alice,Laptop,2,920,1840,April
1070,South,David,Monitor,18,465,8370,March
1071,South,John,Phone,13,482,6266,June
1072,South,John,Tablet,3,511,1533,March
1073,South,Sophia,Phone,2,322,644,May
1074,South,Sophia,Phone,14,815,11410,April
1075,North,Sophia,Phone,10,446,4460,January
1076,West,Olivia,Laptop,14,941,13174,May
1077,South,Bob,Phone,9,728,6552,April
1078,East,Emma,Phone,8,434,3472,May
1079,East,Chris,Tablet,20,233,4660,May
1080,West,Sophia,Laptop,14,946,13244,January
1081,South,David,Laptop,18,567,10206,May
1082,South,Emma,Phone,16,753,12048,February
1083,North,Alice,Laptop,20,686,13720,January
1084,North,Chris,Phone,20,408,8160,January
1085,East,Sophia,Laptop,14,555,7770,March
1086,East,Emma,Phone,18,865,15570,January
1087,South,John,Phone,16,504,8064,April
1088,North,Bob,Laptop,18,645,11610,May
1089,West,Alice,Phone,20,843,16860,April
1090,East,David,Laptop,1,433,433,April
1091,West,John,Laptop,12,762,9144,April
1092,West,Bob,Tablet,13,658,8554,January
1093,North,Bob,Monitor,10,365,3650,June
1094,West,Emma,Monitor,3,303,909,January
1095,West,Olivia,Phone,7,708,4956,January
1096,South,Sophia,Laptop,13,311,4043,February
1097,South,Bob,Phone,19,815,15485,March
1098,South,Sophia,Phone,6,860,5160,May
1099,West,Sophia,Tablet,13,894,11622,June
